Date,Open,High,Low,Close,Adj Close,Volume
2000-04-03,11.250000,12.375000,11.250000,12.031250,8.401437,77000
2000-04-04,12.031250,12.031250,11.437500,11.625000,8.117750,33200
2000-04-05,11.562500,11.750000,11.500000,11.750000,8.205038,13600
2000-04-06,11.812500,12.062500,11.812500,12.062500,8.423262,28800
2000-04-07,11.937500,12.062500,11.906250,12.000000,8.379619,46600
2000-04-10,12.031250,12.031250,11.750000,11.781250,8.226862,18600
2000-04-11,11.687500,11.750000,11.562500,11.687500,8.161402,13200
2000-04-12,11.562500,12.031250,11.562500,11.843750,8.270504,44200
2000-04-13,11.750000,11.875000,11.609375,11.718750,8.183217,52400
2000-04-14,11.750000,11.875000,11.312500,11.875000,8.292330,49200
2000-04-17,11.750000,11.750000,11.437500,11.625000,8.117750,135200
2000-04-18,11.562500,11.875000,11.562500,11.843750,8.270504,79800
2000-04-19,11.812500,11.812500,11.500000,11.593750,8.095931,39600
2000-04-20,11.531250,11.562500,11.250000,11.343750,7.921356,97600
2000-04-24,11.281250,11.281250,11.156250,11.156250,7.790420,7400
2000-04-25,11.000000,11.750000,10.968750,11.656250,8.139578,47000
2000-04-26,11.625000,11.750000,11.250000,11.375000,7.943177,105000
2000-04-27,11.343750,11.406250,11.250000,11.406250,7.964993,9000
2000-04-28,11.312500,11.500000,11.312500,11.500000,8.030462,25600
2000-05-01,11.437500,11.500000,11.312500,11.500000,8.030462,34600
2000-05-02,11.250000,11.437500,11.218750,11.406250,7.964993,48400
2000-05-03,11.375000,11.500000,11.312500,11.468750,8.008650,86800
2000-05-04,11.312500,11.437500,11.281250,11.437500,7.986824,15600
2000-05-05,11.375000,11.468750,11.375000,11.468750,8.008650,18600
2000-05-08,11.437500,11.437500,11.125000,11.156250,7.790420,13600
2000-05-09,11.187500,11.250000,11.000000,11.250000,7.855892,22600
2000-05-10,11.156250,11.156250,10.937500,11.000000,7.700140,21200
2000-05-11,11.062500,11.500000,11.031250,11.500000,8.050144,138800
2000-05-12,11.531250,11.812500,11.531250,11.687500,8.181396,33600
2000-05-15,11.562500,12.000000,11.500000,12.000000,8.400151,207600
2000-05-16,12.000000,12.000000,11.750000,12.000000,8.400151,63200
2000-05-17,11.968750,11.968750,11.812500,11.937500,8.356398,27600
2000-05-18,11.812500,11.812500,11.687500,11.687500,8.181396,18800
2000-05-19,11.812500,11.812500,11.500000,11.562500,8.093893,56600
2000-05-22,11.562500,11.562500,11.062500,11.187500,7.831392,18600
2000-05-23,11.062500,11.125000,10.875000,10.906250,7.634509,41400
2000-05-24,10.812500,10.843750,10.500000,10.812500,7.568886,48600
2000-05-25,10.812500,10.968750,10.687500,10.718750,7.503263,49000
2000-05-26,10.781250,10.781250,10.421875,10.562500,7.393882,130200
2000-05-30,10.625000,10.625000,10.375000,10.500000,7.350130,52800
2000-05-31,10.500000,10.500000,10.375000,10.468750,7.328256,29600
2000-06-01,10.500000,10.500000,10.375000,10.468750,7.328256,9800
2000-06-02,10.500000,10.625000,10.468750,10.625000,7.437635,59000
2000-06-05,10.625000,10.625000,10.187500,10.312500,7.218879,36600
2000-06-06,10.437500,10.437500,10.250000,10.375000,7.262632,9600
2000-06-07,10.312500,10.500000,10.187500,10.500000,7.350130,64200
2000-06-08,10.437500,10.687500,10.125000,10.656250,7.459506,35000
2000-06-09,10.718750,10.750000,10.593750,10.750000,7.525133,12000
2000-06-12,10.812500,10.812500,10.687500,10.718750,7.503263,15600
2000-06-13,10.593750,10.656250,10.500000,10.625000,7.437635,31400
2000-06-14,10.562500,10.687500,10.562500,10.625000,7.437635,50600
2000-06-15,10.656250,10.812500,10.125000,10.250000,7.175128,177000
2000-06-16,10.312500,10.375000,10.218750,10.250000,7.175128,57400
2000-06-19,10.375000,10.562500,10.187500,10.562500,7.393882,81200
2000-06-20,10.625000,10.625000,10.312500,10.468750,7.328256,60200
2000-06-21,10.500000,10.500000,9.937500,9.937500,6.956375,57800
2000-06-22,9.875000,9.937500,9.468750,9.468750,6.628243,62800
2000-06-23,9.375000,9.718750,9.312500,9.625000,6.737620,36000
2000-06-26,9.687500,9.937500,9.687500,9.718750,6.803247,69200
2000-06-27,9.625000,9.718750,9.562500,9.625000,6.737620,66600
2000-06-28,9.687500,9.687500,9.593750,9.625000,6.737620,34000
2000-06-29,9.625000,9.750000,9.562500,9.562500,6.693869,52000
2000-06-30,9.625000,9.656250,9.500000,9.562500,6.693869,94800
2000-07-03,9.562500,9.750000,9.562500,9.750000,6.825121,13400
2000-07-05,9.750000,9.875000,9.750000,9.781250,6.846997,28200
2000-07-06,9.687500,9.750000,9.562500,9.750000,6.825121,44400
2000-07-07,9.750000,10.000000,9.687500,9.843750,6.890748,62200
2000-07-10,9.781250,10.312500,9.781250,10.125000,7.087626,77200
2000-07-11,10.062500,11.375000,10.062500,11.250000,7.875140,141800
2000-07-12,11.187500,11.562500,11.093750,11.343750,7.940767,104400
